run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias	Lane	Sample	BiolRep	label
ERR458593	SAMEA2400797	ERX424940	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458593/ERR458593.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458593	mu_sample94	3	SNF2	14	SNF2_14
ERR458591	SAMEA2400795	ERX424938	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458591/ERR458591.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458591	mu_sample92	1	SNF2	14	SNF2_14
ERR458595	SAMEA2400799	ERX424942	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458595/ERR458595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458595	mu_sample96	5	SNF2	14	SNF2_14
ERR458597	SAMEA2400801	ERX424944	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458597/ERR458597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458597	mu_sample98	7	SNF2	14	SNF2_14
ERR458592	SAMEA2400796	ERX424939	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458592/ERR458592.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458592	mu_sample93	2	SNF2	14	SNF2_14
ERR458594	SAMEA2400798	ERX424941	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458594/ERR458594.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458594	mu_sample95	4	SNF2	14	SNF2_14
ERR458596	SAMEA2400800	ERX424943	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458596/ERR458596.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458596	mu_sample97	6	SNF2	14	SNF2_14
ERR458599	SAMEA2400803	ERX424946	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458599/ERR458599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458599	mu_sample100	2	SNF2	15	SNF2_15
ERR458601	SAMEA2400805	ERX424948	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458601/ERR458601.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458601	mu_sample102	4	SNF2	15	SNF2_15
ERR458598	SAMEA2400802	ERX424945	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458598/ERR458598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458598	mu_sample99	1	SNF2	15	SNF2_15
ERR458600	SAMEA2400804	ERX424947	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458600/ERR458600.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458600	mu_sample101	3	SNF2	15	SNF2_15
ERR458602	SAMEA2400806	ERX424949	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458602/ERR458602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458602	mu_sample103	5	SNF2	15	SNF2_15
ERR458604	SAMEA2400808	ERX424951	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458604/ERR458604.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458604	mu_sample105	7	SNF2	15	SNF2_15
ERR458603	SAMEA2400807	ERX424950	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458603/ERR458603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458603	mu_sample104	6	SNF2	15	SNF2_15
