run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
ERR458495	SAMEA2400699	ERX424842	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458495/ERR458495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458495	wt_sample3
ERR458493	SAMEA2400697	ERX424840	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458493/ERR458493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458493	wt_sample1
ERR458496	SAMEA2400699	ERX424843	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458496/ERR458496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458496	wt_sample3
ERR458499	SAMEA2400703	ERX424846	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458499/ERR458499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458499	wt_sample7
ERR458497	SAMEA2400701	ERX424844	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458497/ERR458497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458497	wt_sample5
ERR458501	SAMEA2400705	ERX424848	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458501/ERR458501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458501	mu_sample2
ERR458498	SAMEA2400702	ERX424845	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458498/ERR458498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458498	wt_sample6
ERR458505	SAMEA2400709	ERX424852	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458505/ERR458505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458505	mu_sample6
ERR458502	SAMEA2400706	ERX424849	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458502/ERR458502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458502	mu_sample3
ERR458508	SAMEA2400712	ERX424855	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458508/ERR458508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458508	mu_sample9
ERR458509	SAMEA2400713	ERX424856	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458509/ERR458509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458509	mu_sample10
ERR458511	SAMEA2400715	ERX424858	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458511/ERR458511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458511	mu_sample12
ERR458510	SAMEA2400714	ERX424857	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458510/ERR458510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458510	mu_sample11
ERR458514	SAMEA2400718	ERX424861	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458514/ERR458514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458514	mu_sample15
