,SRR6357070_ReadsPerGene.out.tab,SRR6357071_ReadsPerGene.out.tab,SRR6357072_ReadsPerGene.out.tab,SRA6357070_rsem.genes.results,SRA6357071_rsem.genes.results,SRA6357072_rsem.genes.results
ETS1-1,0,0,0,38469,50020,55716
ETS1-2,0,0,0,38469,50020,55716
RDN18-1,0,0,0,45781,68737,83127
RDN18-2,0,0,0,45781,68737,83127
RDN25-1,0,0,0,73121,109581,132562
RDN25-2,0,0,0,73121,109581,132562
RDN58-1,0,0,0,781,1751,2924
RDN58-2,0,0,0,781,1751,2924
snR7-S,0,0,0,5636,7003,11090
YDR039C,0,2,5,5727,7693,5653
YEL034W,0,0,0,24758,35308,29494
YER138C,30,21,11,204946,331963,201196
YFL002W-A,9,16,10,24003,45704,21242
YGR161W-B,5,11,4,22070,32335,21279
YLR154W-B,0,0,0,562,1517,2544
YLR154W-C,0,0,0,4548,14542,22032
YLR154W-E,0,0,0,15679,32091,47963
YLR155C,0,0,0,1501,2343,1796
YLR157C,0,0,0,1501,2343,1796
YLR158C,0,0,0,1501,2343,1796
YLR160C,0,0,0,1501,2343,1796
YLR467W,0,0,0,2097,2001,2900
YPL257W-B,34,35,19,37644,76499,40210
YPL283C,0,0,2,3369,8093,5384
YPR137C-B,23,23,16,55172,94721,59622
