	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
ETS1-1	38469	50020	55716
ETS1-2	38469	50020	55716
ETS2-1	1	4	5
ETS2-2	1	4	5
HRA1	0	2	1
ICR1	665	1126	856
IRT1	378	565	495
ITS1-1	198	580	670
ITS1-2	198	580	670
ITS2-1	42	120	164
ITS2-2	42	120	164
LSR1	309093	523996	397365
NME1	24341	34858	52245
PWR1	0	2	3
Q0010	0	1	52
Q0017	0	0	0
Q0020	1461	2846	3930
Q0032	0	0	0
Q0045	48960	59648	49201
Q0050	90414	129171	99319
Q0055	73687	97554	79293
Q0060	3411	4202	3446
Q0065	9325	11218	9734
Q0070	1032	1228	1164
Q0075	499	420	431
Q0080	0	1	1
Q0085	9731	13904	11025
Q0092	0	0	0
Q0105	35528	42745	32785
Q0110	1545	2032	1687
Q0115	309	243	257
Q0120	4621	5659	4359
Q0130	11853	13963	13332
Q0140	131	78	83
Q0142	1	4	0
Q0143	0	0	0
Q0144	0	0	0
Q0158	4444	9198	10742
Q0160	1765	2203	1906
Q0182	110	23	49
Q0250	15320	18483	16007
Q0255	91	373	225
Q0275	14629	18123	15584
Q0285	805	166	292
Q0297	100	5	50
RDN18-1	45781	68737	83127
RDN18-2	45781	68737	83127
RDN25-1	73121	109581	132562
RDN25-2	73121	109581	132562
RDN37-1	0	0	8
RDN37-2	0	0	8
RDN5-1	0	0	0
RDN5-2	0	0	0
RDN5-3	0	0	0
RDN5-4	0	0	0
RDN5-5	0	0	0
RDN5-6	0	0	0
RDN58-1	781	1751	2924
RDN58-2	781	1751	2924
RME2	1485	2166	1619
RME3	165	224	165
RNA170	0	1	1
RPR1	15769	23245	31437
RUF20	64	121	107
RUF21	0	0	1
RUF22	2	0	3
RUF23	0	2	2
RUF5-1	74	98	78
RUF5-2	74	98	78
SCR1	734471	923398	1039652
SRG1	908	1414	1239
YAL001C	2526	3642	2704
YAL002W	1896	2887	2097
YAL003W	43631	62123	52886
YAL004W	3	14	16
YAL005C	88233	133234	86793
YAL007C	2461	3386	2692
YAL008W	332	525	378
YAL009W	425	752	538
YAL010C	740	1117	894
YAL011W	676	1120	949
YAL012W	13117	21324	16274
YAL013W	616	803	758
YAL014C	809	1357	1037
YAL015C	547	816	660
YAL016C-A	1	5	3
YAL016C-B	0	0	0
YAL016W	6494	9630	7379
YAL017W	3991	5614	4221
YAL018C	1	1	6
YAL019W	6273	9603	7109
YAL019W-A	9	3	2
YAL020C	471	468	476
YAL021C	5058	6996	5832
YAL022C	1855	2876	2112
YAL023C	15676	24288	18005
YAL024C	2711	3840	3053
YAL025C	1288	2234	1726
YAL026C	7114	10941	7939
YAL026C-A	364	622	461
YAL027W	295	434	335
YAL028W	263	388	312
YAL029C	8550	12426	9696
YAL030W	460	644	596
YAL031C	1336	1889	1420
YAL031W-A	2	1	0
YAL032C	703	1015	816
YAL033W	506	778	603
YAL034C	679	1025	817
YAL034C-B	0	1	0
YAL034W-A	268	400	312
YAL035W	28765	41077	31844
YAL036C	3304	4976	3693
YAL037C-A	0	0	0
YAL037C-B	32	96	59
YAL037W	107	157	111
YAL038W	379990	595315	469213
YAL039C	465	730	606
YAL040C	2350	3314	2880
YAL041W	2903	4697	3563
YAL042C-A	3	3	2
YAL042W	6508	9700	8058
YAL043C	2898	4377	3464
YAL044C	1424	2356	1964
YAL044W-A	344	481	428
YAL045C	0	1	0
YAL046C	233	432	324
YAL047C	818	1179	1012
YAL047W-A	3	3	6
YAL048C	920	1334	1065
YAL049C	1319	1817	1407
YAL051W	2400	3632	2755
YAL053W	5226	7790	5719
YAL054C	196	309	208
YAL055W	168	208	189
YAL056C-A	1	1	4
YAL056W	2501	3768	2910
YAL058W	1044	1488	1138
YAL059C-A	1	0	1
YAL059W	1155	1724	1287
YAL060W	1626	2627	1764
YAL061W	325	453	409
