	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YDL246C	10	19	18
YDL243C	252	408	275
YDR387C	1070	1616	1268
YDL094C	79	90	72
YDR438W	541	749	579
YDR523C	66	101	91
YDR542W	1	7	10
YDR492W	1891	3216	2445
YDR018C	112	138	143
YDL189W	2245	3502	2593
YDR508C	8741	13159	9299
YDR462W	651	934	712
YDR175C	1138	1906	1301
YDR186C	4561	6793	5162
YDR150W	12478	18582	14746
YDR243C	1220	1797	1452
YDL182W	6235	7824	5652
YDR362C	1322	2009	1575
YDR232W	9497	12322	10636
YDR158W	6904	12598	10690
YDR439W	146	363	296
YDL206W	882	1216	853
YDR125C	346	540	365
YDR338C	1225	1771	1345
YDR526C	3	4	6
YDR533C	409	659	473
YDR272W	1626	2117	1841
YDR197W	845	1288	926
YDR512C	356	614	477
YDR489W	567	868	713
YDR299W	2829	4318	3553
YDL015C	6459	10058	7917
YDR304C	5697	7977	6548
YDR271C	0	1	1
YDL181W	837	1078	1009
YDR367W	1152	1715	1454
YDR085C	790	1034	799
YDL097C	7757	10802	8510
YDL139C	249	322	283
YDR200C	1152	1670	1380
YDR191W	265	398	309
YDR451C	1004	1362	1078
YDR469W	811	1219	1010
YDR470C	1327	1646	1274
YDR105C	1659	2472	1865
YDR483W	11186	16427	13550
YDL123W	489	709	577
YDL199C	459	687	484
YDR505C	4296	6244	4970
YDL045W-A	736	1141	848
YDL045C	1008	1479	1169
YDR361C	2953	4069	3211
YDR406W-A	0	0	1
YDR199W	15	15	15
YDR266C	4195	5609	4751
YDL242W	58	91	84
YDR002W	12729	18708	15205
YDR214W	5842	8948	6416
YDR130C	725	1031	813
YDL176W	1021	1484	1169
YDR358W	1262	1692	1237
YDR544C	3	7	39
YDR460W	933	1263	973
snR84	21748	31449	29661
YDR034W-B	61	67	63
YDL028C	2019	2731	2137
YDR061W	2025	2864	2234
YDR060W	15864	23193	17843
YDR169C-A	32	47	49
YDR363W	804	1260	1013
YDR422C	3101	4314	3346
YDR119W	7590	10552	8308
tR(ACG)D	10	22	32
YDR097C	4959	7140	5220
YDR042C	104	135	137
YDL160C	10432	14168	11636
YDR425W	724	998	773
snR13	1334	1643	2379
YDR228C	1651	2191	1731
YDR319C	662	958	809
YDR471W	23292	29165	27005
YDR089W	2224	3246	2439
tD(GUC)D	3	11	2
YDR275W	629	1036	785
YDR043C	792	906	753
YDR129C	14917	21800	17537
YDR136C	15	26	24
YDL066W	11510	16503	13084
YDR302W	1129	1467	1251
YDR239C	1644	2328	1757
YDR539W	2034	3006	2114
tK(CUU)D1	4	2	2
YDL125C	4903	7125	6062
YDR493W	370	585	477
YDR101C	9020	12854	10058
YDR182W-A	51	56	40
YDR212W	15109	20849	15885
YDR476C	1190	1741	1509
YDL131W	5633	7621	5998
YDR458C	2283	3376	2544
YDR081C	2714	4004	3101
YDL071C	85	152	116
YDR113C	970	1313	1059
YDR168W	4842	6558	4986
YDR520C	880	1262	1052
YDR307W	1836	2686	2090
YDR265W	744	1067	788
YDL076C	1124	1547	1238
YDL006W	1142	1526	1180
YDL086W	579	892	764
YDR238C	23431	31885	25029
YDR077W	31527	45889	46219
YDR381C-A	333	482	382
YDL023C	2	1	3
YDL083C	38601	51366	47822
YDR036C	2340	3514	2628
YDR057W	1244	1693	1300
YDR513W	2120	2837	2362
YDR487C	3893	5521	4325
YDR066C	477	658	518
YDR352W	1628	2253	1825
YDR278C	4	0	5
YDR079C-A	349	349	399
YDR204W	1362	2009	1427
YDL247W-A	33	39	37
YDL024C	160	241	178
tA(AGC)D	1	0	5
YDR109C	940	1477	1027
YDR466W	1769	2721	2120
YDR427W	6591	9150	7130
YDL044C	649	907	701
YDL079C	414	640	488
YDR193W	6	4	1
YDR305C	682	884	719
YDR377W	2534	3616	3082
YDR219C	1404	1965	1537
YDR416W	2144	2923	2348
YDR365C	8140	12573	8777
YDL233W	954	1342	1148
YDR287W	697	1010	869
YDR448W	1181	1791	1459
YDR180W	3432	4903	3830
tF(GAA)D	2	22	10
tT(AGU)D	6	12	11
YDR294C	5651	7685	6282
YDR198C	1016	1451	1131
YDL163W	0	0	0
YDL119C	242	355	289
YDR501W	498	737	580
YDL214C	259	359	261
YDR264C	8048	11660	9294
YDR343C	125	137	126
YDR373W	1522	2261	1722
YDR354W	1816	2531	2057
YDR246W	723	998	828
YDR428C	1165	1415	1124
YDR157W	25	39	57
YDR316W	734	1234	812
YDL142C	732	944	768
YDR253C	279	420	312
YDL112W	10084	13957	10976
YDR545W	1	0	1
YDL187C	1	3	1
YDL138W	1206	1817	1308
YDR528W	791	1208	1004
YDR284C	1807	2649	2072
YDR050C	103278	165768	129938
YDL010W	157	206	173
YDL065C	1272	1863	1406
YDR349C	3643	5676	4217
YDL098C	418	640	493
YDL234C	4042	5449	4432
YDR118W	657	1103	827
YDR118W-A	3	11	2
YDR159W	3576	5124	4084
YDR111C	1251	1785	1680
YDR128W	3588	5445	4179
YDL034W	95	112	83
YDR065W	719	1039	858
YDL004W	4240	5162	4437
YDR024W	260	290	247
YDL171C	36805	54762	40610
YDR083W	2527	3989	2985
YDR457W	25129	37499	29215
YDR014W	902	1201	952
YDR206W	4343	6332	4750
YDR478W	349	581	427
