	SNF2_06	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_22	WT_18	WT_20	WT_39	WT_42	WT_45
YDL246C	14	7	3	4	4	6	4	2	3	1	1	3
YDL243C	460	270	254	366	175	256	220	185	200	154	154	255
YDR387C	892	630	574	972	523	893	847	576	410	444	469	749
YDL094C	9	8	7	51	10	53	20	29	14	9	26	14
YDR438W	295	281	260	473	262	390	418	212	161	148	208	372
YDR523C	81	33	24	78	31	52	162	64	27	51	38	106
YDR542W	0	3	3	0	3	3	2	0	0	0	0	2
YDR492W	1652	495	617	1241	486	1030	2622	961	468	720	837	1614
YDR018C	220	142	117	238	159	312	127	72	54	36	52	56
YDL189W	2435	982	1211	1835	1045	1463	1992	995	691	878	933	1469
YDR508C	2401	1904	2460	3589	1582	2721	3187	1886	1276	1828	1833	3576
YDR462W	698	471	414	553	312	465	624	334	313	318	339	490
YDR175C	1603	483	513	899	440	769	885	508	428	401	457	689
YDR186C	3179	1132	1220	1911	1056	1601	3531	1349	966	1155	1190	2425
YDR150W	4000	1379	1542	2650	1429	1946	2375	1337	893	1064	1178	1669
YDR243C	141	201	184	344	155	242	311	218	129	181	180	284
YDL182W	771	1268	1270	1593	957	1186	2333	2064	1777	1966	1796	3550
YDR362C	447	351	304	547	344	509	616	324	214	341	276	458
YDR232W	1260	1680	1709	2432	1338	1727	2582	1618	1227	1700	1535	2963
YDR158W	2174	6824	5143	7734	5018	5791	4051	3617	3546	3919	3674	5623
YDR439W	378	195	211	338	183	278	376	175	147	187	175	280
YDL206W	503	273	309	678	305	617	624	384	220	219	359	428
YDR125C	203	77	68	152	86	150	214	125	62	66	84	111
YDR338C	441	359	450	660	300	533	417	331	233	300	315	529
YDR526C	6	3	0	5	1	3	5	3	3	1	2	5
YDR533C	210	173	146	306	156	289	270	204	190	155	198	241
YDR272W	1375	659	576	1218	780	1066	1014	601	511	423	578	686
YDR197W	644	183	172	419	188	382	417	246	169	143	210	309
YDR512C	1894	445	321	520	337	551	509	231	226	236	212	244
YDR489W	680	301	335	404	233	367	472	218	171	172	196	323
YDR299W	207	74	103	303	91	137	683	242	111	279	217	524
YDL015C	1060	1209	1112	2270	1247	1819	2938	1533	1080	1045	1424	1903
YDR304C	5418	2771	2400	3438	2331	2798	3213	1723	1545	1678	1718	2696
YDR271C	1	0	0	2	1	1	0	0	0	0	0	0
YDL181W	223	327	340	498	297	476	261	229	279	175	224	204
YDR367W	471	510	426	657	412	520	407	327	247	297	305	458
YDR085C	915	441	477	925	506	867	1269	925	744	519	995	864
YDL097C	4197	3690	3497	4838	3145	4125	4091	3011	2491	2484	2818	3967
YDL139C	555	275	297	447	226	351	384	186	130	153	153	264
YDR200C	1168	347	364	838	441	652	709	387	203	270	349	477
YDR191W	237	162	184	334	140	259	156	99	78	57	95	128
YDR451C	475	268	231	384	237	272	526	291	257	248	305	420
YDR469W	643	555	497	691	410	519	568	321	277	314	283	439
YDR470C	437	328	357	622	323	534	608	349	264	299	276	486
YDR105C	1150	718	608	1047	590	710	844	588	474	523	523	766
YDR483W	3312	2607	2266	4116	2350	3274	4307	2565	2108	2261	2331	3337
YDL123W	1767	368	439	686	378	546	719	401	297	357	357	561
YDL199C	437	301	241	372	261	387	286	189	143	118	144	211
YDR505C	1027	525	481	1043	585	802	981	758	478	533	670	796
YDL045W-A	396	349	369	599	308	530	915	339	258	282	350	417
YDL045C	2180	599	607	993	547	831	960	462	388	355	438	539
YDR361C	380	235	266	618	259	430	1077	554	303	481	526	920
YDR406W-A	2	0	1	37	4	18	10	23	9	6	20	8
YDR199W	29	18	9	60	21	42	34	19	12	11	15	18
YDR266C	854	387	332	804	441	616	1081	609	340	490	510	840
YDL242W	30	25	17	24	15	36	38	32	20	23	22	26
YDR002W	1111	4256	3311	6799	3632	4916	3438	3785	2633	3543	3638	5465
YDR214W	1838	1162	1010	1417	1041	1147	1811	1231	1022	813	1023	1396
YDR130C	169	171	180	327	187	261	288	206	152	163	211	239
YDL176W	697	334	301	624	319	461	537	265	186	248	271	452
YDR358W	1318	954	871	1519	855	1358	1312	799	688	637	858	914
YDR544C	0	1	0	0	0	0	0	0	0	0	0	0
YDR460W	811	501	551	990	500	718	627	381	254	288	344	535
snR84	38	89	85	187	94	162	105	99	96	67	80	148
YDR034W-B	23	64	46	54	49	79	19	34	43	10	47	13
YDL028C	1193	265	295	709	313	525	672	320	198	229	276	467
YDR061W	640	446	586	990	485	778	831	507	401	402	459	806
YDR060W	911	514	621	1730	649	990	3122	1413	573	1273	1225	2307
YDR169C-A	8	4	4	4	2	5	7	6	3	7	6	11
YDR363W	715	233	208	523	279	402	636	325	167	225	311	375
YDR422C	902	420	380	775	458	621	915	548	326	457	428	715
YDR119W	524	597	509	1044	541	780	1161	801	457	678	621	1219
tR(ACG)D	0	1	2	1	0	1	0	0	0	0	0	1
YDR097C	480	448	402	760	453	534	552	371	255	348	318	609
YDR042C	81	20	17	69	17	69	43	26	7	16	22	27
YDL160C	2589	828	721	1185	693	827	1216	859	700	885	829	1282
YDR425W	1446	248	212	410	221	407	640	274	186	171	235	286
snR13	19	16	5	22	13	20	53	6	15	10	12	13
YDR228C	1535	381	397	883	447	766	1315	539	281	364	451	670
YDR319C	428	526	349	766	458	636	478	400	301	245	314	409
YDR471W	1060	6803	5798	8162	4764	5808	6950	5651	4671	6510	5051	9649
YDR089W	234	196	152	294	172	274	721	599	627	437	463	652
tD(GUC)D	0	0	0	0	0	1	2	0	0	0	0	0
YDR275W	437	442	465	691	325	490	578	424	277	378	355	745
YDR043C	371	189	173	281	150	314	762	207	97	163	161	336
YDR129C	4940	4036	3507	5734	3771	4662	4534	3801	3541	3235	3021	4700
YDR136C	4	11	1	14	6	10	15	10	7	4	4	17
YDL066W	1199	1741	1660	2821	1670	1906	1361	1376	1265	1230	1312	1788
YDR302W	371	333	313	680	276	554	780	335	251	235	318	463
YDR239C	553	325	284	543	259	464	604	285	176	255	248	435
YDR539W	595	449	442	678	403	522	675	538	419	407	450	716
tK(CUU)D1	0	1	0	0	0	0	0	0	0	0	0	0
YDL125C	1925	3774	3123	3427	2265	3306	2511	1961	1991	2132	1956	2748
YDR493W	107	201	177	239	168	189	220	139	152	125	130	223
YDR101C	261	174	233	526	199	335	886	522	231	503	411	1090
YDR182W-A	67	25	24	42	21	52	41	16	10	8	16	18
YDR212W	1253	2031	1826	3393	1788	2241	2300	2057	1337	1853	1865	2993
YDR476C	1838	3445	3418	2569	1914	2390	1741	1118	1418	1413	1160	1968
YDL131W	1794	1370	1250	1888	1147	1383	1622	956	884	988	934	1332
YDR458C	424	384	362	1110	469	791	726	511	290	421	446	525
YDR081C	2396	437	438	909	481	762	1366	518	310	378	448	673
YDL071C	75	41	39	47	22	27	30	24	19	24	24	35
YDR113C	919	427	412	717	402	601	647	269	219	178	298	415
YDR168W	1460	593	493	1557	730	1144	1553	914	590	642	871	839
YDR520C	519	162	162	410	189	350	378	201	112	126	139	249
YDR307W	682	394	365	755	453	584	671	369	278	261	376	474
YDR265W	551	361	327	567	330	509	621	333	238	268	289	408
YDL076C	1219	533	510	1104	565	986	955	525	326	398	500	553
YDL006W	701	371	362	749	378	524	573	362	281	294	383	506
YDL086W	430	903	790	836	603	751	633	423	471	508	468	660
YDR238C	2020	2944	2642	4352	2701	2964	3160	2814	1765	2510	2477	3963
YDR077W	18324	5164	4795	6202	3978	4769	72244	36809	33528	34977	34881	51560
YDR381C-A	1003	328	260	571	317	456	333	192	157	127	172	198
YDL023C	38	5	2	4	1	6	19	3	2	1	0	3
YDL083C	1484	8920	7829	10296	5787	7477	7012	7653	7020	8893	7821	13436
YDR036C	686	439	446	704	370	549	854	532	438	588	489	706
YDR057W	1489	548	545	1064	535	821	951	451	326	406	436	646
YDR513W	441	1187	898	1584	924	1653	1457	1064	903	737	1143	1113
YDR487C	2657	3633	3151	3488	2240	2753	3196	1755	1833	2015	1774	3109
YDR066C	81	110	103	165	96	132	187	108	76	87	100	155
YDR352W	406	478	423	626	367	533	604	429	303	390	443	657
YDR278C	0	0	0	0	0	2	0	1	0	0	0	1
YDR079C-A	179	136	142	222	144	196	112	98	74	100	96	119
YDR204W	759	900	681	1035	751	835	718	553	503	482	521	743
YDL247W-A	2	2	0	0	1	0	0	2	1	1	1	1
YDL024C	121	96	58	125	59	122	43	40	25	26	27	46
tA(AGC)D	0	0	0	1	0	1	0	0	0	0	0	0
YDR109C	482	279	282	518	277	405	399	279	223	217	237	406
YDR466W	2672	543	572	1027	602	886	1464	640	398	503	610	915
YDR427W	3338	940	820	2005	1049	1783	2207	1198	796	731	1112	1216
YDL044C	275	163	147	313	154	238	284	156	99	93	133	186
YDL079C	1532	482	527	963	475	1018	1130	769	696	497	818	671
YDR193W	0	2	2	1	1	0	0	3	1	3	1	5
YDR305C	1178	283	271	512	283	397	462	231	163	198	214	302
YDR377W	922	872	783	1246	729	1115	672	616	585	529	560	766
YDR219C	735	248	337	792	321	638	761	396	188	227	394	425
YDR416W	351	320	313	598	303	443	554	360	202	275	305	460
YDR365C	3444	844	1017	3044	1222	1419	4543	2232	1173	2079	2221	3635
YDL233W	646	510	424	706	481	650	522	396	250	346	345	487
YDR287W	790	601	559	962	585	773	556	394	384	269	351	485
YDR448W	430	227	200	556	302	283	471	262	146	228	255	412
YDR180W	191	179	181	478	216	343	497	290	112	190	206	363
tF(GAA)D	0	1	0	2	1	1	1	0	0	0	1	0
tT(AGU)D	0	0	1	0	0	1	0	0	0	0	1	1
YDR294C	1537	1733	1611	2487	1472	2007	2169	1637	1224	1338	1424	2193
YDR198C	302	180	161	363	123	241	369	182	112	160	156	282
YDL163W	0	0	0	0	0	0	0	0	0	0	0	0
YDL119C	600	241	204	409	220	425	432	195	122	126	169	194
YDR501W	111	53	48	116	44	74	156	87	62	63	62	128
YDL214C	306	180	142	184	159	234	91	46	48	31	53	79
YDR264C	1614	1576	1424	2478	1545	1817	2008	1639	1012	1280	1384	2184
YDR343C	306	151	153	245	127	289	672	502	504	238	568	437
YDR373W	438	633	589	1140	592	807	671	530	397	380	457	558
YDR354W	1927	1182	1116	1580	921	1390	1041	671	689	598	658	926
YDR246W	2571	765	778	1027	665	981	1211	562	530	426	480	676
YDR428C	131	239	189	362	176	302	353	267	207	220	253	354
YDR157W	116	54	54	49	33	66	86	33	25	27	26	53
YDR316W	890	207	212	740	277	575	609	326	161	217	314	305
YDL142C	739	313	276	567	327	588	495	286	181	192	263	295
YDR253C	538	268	262	364	239	320	308	147	148	92	132	186
YDL112W	796	495	501	1230	502	814	1699	755	397	703	695	1288
YDR545W	0	0	1	0	0	0	0	0	0	0	0	0
YDL187C	8	1	0	2	1	2	6	1	0	0	1	0
YDL138W	2065	662	627	728	548	638	744	396	349	408	381	636
YDR528W	819	187	177	352	198	212	221	100	100	85	105	122
YDR284C	626	1125	872	1580	919	1313	1127	759	734	656	775	1034
YDR050C	7843	58051	49374	67775	43843	50656	25927	41196	40057	45170	42064	66406
YDL010W	226	186	158	548	263	411	239	193	113	113	150	170
YDL065C	2288	543	460	1236	568	899	1351	580	389	453	555	647
YDR349C	2420	1762	1664	2384	1397	1864	2017	1170	933	1052	981	1855
