,SNF2_14,SNF2_15,SNF2_31,SNF2_33,SNF2_42,SNF2_44,WT_02,WT_18,WT_20,WT_39,WT_42,WT_45,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YOR290C,13.4117876,9.490432634,18.86362292,20.75369307,20.15957439,7.550053999,1487.161752,1681.419817,1474.606771,1540.076437,1819.199508,1641.141939,811.152949,-6.742269144,0.168251467,-40.07257274,1.36E-301,9.13E-298
YGR234W,282.392639,312.1297844,329.5585887,350.3711713,314.7133557,238.5817064,5373.665793,5713.362765,5108.945304,6446.396337,5688.702043,6976.69676,3094.626354,-4.273165062,0.107435288,-39.77431576,1.65E-270,5.52E-267
YML123C,388.1967412,465.0311991,340.6548375,388.8265438,397.5916059,342.0174462,7199.051788,8995.000541,11700.05946,10670.91156,9457.467147,9934.521223,5023.277508,-4.641973437,0.118995945,-39.00950932,9.30E-266,2.08E-262
YIL121W,224.2748927,185.5906826,244.1174731,224.6282074,217.2754128,231.7866578,1323.17424,1522.264174,1523.004121,1620.288752,1560.837623,1514.143936,865.9488477,-2.768215954,0.077414127,-35.75853724,5.22E-189,8.75E-186
YDR033W,506.6675317,706.509985,618.0610569,549.9728665,580.1477518,464.328321,7969.793096,7126.275103,7537.887329,8858.113258,6518.304424,8953.768901,4199.152469,-3.779632048,0.113363758,-33.34074411,2.49E-184,3.34E-181
YHR215W,12.66668829,21.0898503,24.41174731,20.75369307,14.55969261,15.100108,487.862849,588.9841471,505.147345,631.0035402,642.3492724,728.3949994,307.6936611,-5.059749798,0.179722898,-28.15306151,2.64E-142,2.94E-139
YOR153W,2045.297609,1816.890603,2032.832776,1972.211245,1909.559685,1744.817479,14176.72044,14213.57331,10748.74905,13442.24703,11888.20212,15569.13586,7630.019767,-2.796543883,0.092022123,-30.38990818,9.09E-138,8.70E-135
YER011W,129.6472802,142.3564895,149.7993585,162.9775309,132.1572099,146.4710476,2446.488699,2070.106046,1961.605109,3018.656767,2431.920123,3896.790345,1390.748001,-4.195038232,0.160968171,-26.06129034,6.55E-117,5.49E-114
YPL095C,252.5886665,244.6422634,276.2965946,229.5114293,229.5951527,269.5369278,1034.146249,1002.57228,1052.642372,1033.401984,1026.33666,904.55352,629.6520083,-2.010306039,0.072225852,-27.833608,2.13E-97,1.59E-94
YOR273C,839.7269238,784.5424311,787.8336632,673.8846222,750.3841577,781.4305889,3604.650504,3905.268049,3015.759898,3534.689323,3304.18777,3941.034811,2160.282728,-2.207415009,0.08209524,-26.8884652,2.26E-96,1.51E-93
YDR406W,627.3736201,578.9163907,601.4166837,545.0896446,543.188532,566.25405,2147.211489,2562.730655,2193.004941,2208.512391,2603.766331,2219.59736,1449.755174,-2.009148776,0.073061387,-27.49946133,4.32E-95,2.63E-92
YFR015C,1174.276515,1326.551584,1227.245115,1047.451097,1182.695031,1147.608208,7371.238676,10204.36689,11619.90135,8010.536468,9821.307048,7492.882192,5135.505015,-2.940150666,0.119433541,-24.61746213,4.43E-93,2.47E-90
YHR136C,23.09807865,39.01622305,55.48124389,36.62416425,31.35933793,33.2202376,701.0466149,756.8013214,1281.017369,811.4812477,955.2278847,686.6085596,450.9151902,-4.581669503,0.202277407,-22.65042636,7.55E-91,3.89E-88
YER081W,7345.93411,10441.58488,8319.967333,7382.210707,9132.287196,5900.3672,803.5388101,776.2897674,931.6489957,922.441616,788.1222622,1064.325202,4484.05984,3.197855697,0.134053594,23.85505387,2.22E-90,1.06E-87
YKL062W,390.4320391,404.9251257,441.6307013,419.9570834,412.1512985,401.6628728,1608.102542,1800.515876,1969.167195,1772.692149,2248.222453,1759.127181,1135.715543,-2.175205485,0.085682823,-25.38671604,2.01E-85,8.99E-83
YPL019C,676.5501746,489.2845269,512.6466935,671.4430112,582.3877045,677.2398437,3616.949567,3928.004569,3452.848469,3034.699229,4101.791202,3299.490059,2086.944588,-2.566928557,0.108474304,-23.66393195,3.01E-81,1.26E-78
YDR077W,3127.181809,5445.399347,5320.651289,3785.717778,4455.265939,3600.620752,30340.76454,39852.78947,50708.32391,46759.7687,41339.08666,42245.27128,23081.73679,-3.287609878,0.15422892,-21.3164294,2.53E-73,9.97E-71
YPL025C,225.019992,263.6231287,276.2965946,260.0315662,229.5951527,204.6064634,15.37382927,9.744223022,9.074503204,13.36871907,11.85146259,22.12223283,128.3923223,4.098264949,0.202895429,20.19890231,1.13E-70,4.22E-68
YOL109W,617.687329,908.9725478,604.7455584,680.5990523,949.7399488,656.0996925,5666.793471,5321.428461,5945.312016,5052.038938,5053.463648,4205.682263,2971.880244,-2.823628457,0.13146674,-21.47789208,3.29E-70,1.16E-67
YER124C,330.8240942,314.2387694,264.0907209,321.0718399,352.7925517,287.6570574,1147.912586,1351.198926,1119.188729,1153.720456,1219.5155,1124.956506,748.9306447,-1.927187966,0.081728486,-23.58037044,1.38E-68,4.63E-66
YBR067C,884.4328825,1104.053663,1267.19161,937.5786048,1022.538412,1015.482263,7544.450486,5981.870244,5487.049604,7941.019129,6656.966537,9508.463406,4112.591403,-2.791893237,0.135531617,-20.59957144,1.89E-64,6.02E-62
YGR035C,52.9020511,52.72462574,79.8929912,56.76745458,59.3587468,58.1354158,960.3518687,690.7571431,476.4114182,733.9426771,553.4633029,911.9275976,390.5529411,-3.596369485,0.183923384,-19.55362828,6.75E-64,2.05E-61
YFR055W,420.9811109,350.0915149,440.5210765,409.5802368,363.9923153,373.727673,1286.277049,1500.610345,1687.857596,1390.346784,1547.801014,1485.466967,938.1044736,-1.913151042,0.084585155,-22.6180473,5.84E-63,1.70E-60
YCL064C,1664.551861,1711.441352,1641.135194,1709.738068,1543.327417,1694.232117,4690.042851,4611.182872,4277.115844,4006.605106,4457.33508,4186.018056,3016.060485,-1.39570992,0.053799304,-25.94289924,1.54E-62,4.29E-60
YER001W,245.8827727,167.6643099,152.0186082,245.9923032,217.2754128,212.1565174,999.2989029,1091.352978,1256.818694,1235.269642,1118.778068,1133.969268,673.0397898,-2.452268642,0.11921352,-20.57039041,1.41E-60,3.79E-58
YPR149W,956.7075157,1367.676792,1218.368116,892.4088022,1214.054369,1070.597657,4496.332602,4461.771453,4953.166332,4621.566183,4464.445958,4929.16121,2887.188082,-2.057408019,0.100817094,-20.40733301,3.90E-54,1.00E-51
YMR056C,721.2561333,878.3922649,843.3149071,708.0671755,649.5862857,803.3257455,213.1837659,184.057546,167.8783093,163.0983727,171.8462076,181.8939143,473.8250523,2.083188098,0.102554507,20.31298444,4.58E-54,1.14E-51
YDR281C,14.15688691,8.435940119,11.09624878,8.545638325,14.55969261,13.5900972,160.9127464,149.4114197,220.8129113,167.1089884,122.0700647,155.6749717,87.19796718,-3.794667739,0.218497809,-17.36707457,1.12E-51,2.67E-49
YIL169C,288.3534335,455.5407664,377.2724584,258.2003579,329.2730483,261.9868738,1851.009045,1968.33305,2819.145662,2763.314232,2341.849008,2776.749891,1374.252319,-2.885057712,0.159823691,-18.05150218,1.17E-50,2.70E-48
YAR071W,11.17648967,24.25332784,23.30212243,14.6496657,20.15957439,15.100108,150.6635269,153.7421855,161.8286405,200.5307861,163.5501837,212.2095667,95.93051479,-3.315812705,0.19139561,-17.32439264,2.70E-49,6.03E-47
YBR070C,567.7656752,553.6085703,539.2776906,566.4537404,599.1873498,558.703996,211.133922,190.5536947,178.4652297,201.867658,191.993694,188.44865,378.9549892,1.539732601,0.070787831,21.75137423,3.85E-49,8.31E-47
YKL109W,708.589445,559.9355254,521.5236925,658.014151,581.2677281,650.8146547,3127.036875,3039.114891,2031.176301,2739.250538,2638.135572,3099.570622,1696.2025,-2.178367486,0.116100199,-18.76282297,1.15E-47,2.40E-45
YLL053C,32.7843697,35.85274551,38.83687072,43.9489971,51.51891232,36.2402592,186.5357952,182.9748545,176.9528125,201.867658,202.6600103,199.1000954,115.7727817,-2.275469429,0.12673599,-17.95440613,6.85E-45,1.39E-42
YGR087C,170.6277423,211.9529955,206.3902273,141.6134351,163.5165478,166.101188,18.44859513,18.4057546,25.71109241,12.03184717,22.51777892,21.30289087,98.21834125,3.157355281,0.190712355,16.55558855,1.97E-44,3.89E-42
YHL047C,762.2365954,731.8178053,725.69467,685.4822742,694.3853399,663.6497465,2242.52923,3246.991649,2365.420502,2310.114656,2427.179538,2831.645802,1640.595651,-1.856033701,0.097849443,-18.96826021,5.66E-44,1.08E-41
YBR244W,88.66681804,56.9425958,56.59086876,95.22282705,66.07860493,89.09063719,601.6291856,596.5629872,494.5604246,445.1783451,605.6097383,388.3680874,298.7084267,-2.773006993,0.165813565,-16.72364374,4.53E-43,8.44E-41
YJL012C,1271.139425,1242.192183,1452.498965,1341.054814,1377.570916,1237.45385,3245.927821,3604.279827,3992.78141,3355.548487,3374.111399,3583.801718,2423.196735,-1.417600566,0.06716725,-21.10553219,8.63E-43,1.56E-40
YDL037C,19.37258209,29.52579042,19.9732478,15.87047117,29.11938522,14.3451026,395.6198733,318.3112854,192.0769845,463.8945518,245.3252756,503.8953033,187.2774878,-4.074785708,0.262486298,-15.52380348,1.55E-42,2.72E-40
YBR092C,271.2161493,386.998753,413.8900794,286.2788839,277.754136,250.6617928,2007.822103,1676.00636,1690.88243,2577.489037,1648.538446,2576.011111,1171.96244,-2.693338586,0.164232089,-16.3995879,5.53E-41,9.50E-39
YDL039C,258.549461,488.2300344,423.8767033,297.8765359,319.1932611,301.2471546,3094.239372,2456.626893,2144.607591,3441.108289,2148.670168,4075.406892,1620.802696,-3.057711672,0.192126731,-15.91507674,9.77E-41,1.64E-38
