"","SNF2_06","SNF2_15","SNF2_31","SNF2_33","SNF2_42","SNF2_44","WT_22","WT_18","WT_20","WT_39","WT_42","WT_45","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR290C",4.2888207550495,9.92300625431526,19.68098758478,21.6083479617985,20.97008323272,7.91682562868755,1806.33478450971,1749.83890862463,1542.08923856172,1613.44674472884,1895.63162250695,1711.78994394593,866.959942857928,-6.95875289332287,0.255439853793343,-27.2422364403351,2.34555252637633e-141,1.55979243004026e-137
"YML123C",389.56788525033,486.227306461448,355.415481678086,404.838754460754,413.5766415342,358.632200979546,5494.1247241936,9361.0184500022,12235.4895892446,11179.2811774528,9854.81455870063,10362.1832602818,5074.59750251999,-4.6023279932982,0.178860916605498,-25.731322866075,1.01981745240762e-116,3.39089302925533e-113
"YGR234W",175.84165095703,326.356650141924,343.838430157627,364.799756766833,327.36629935524,250.171689866527,4718.79979761084,5945.846697239,5342.74610037075,6753.50712073129,5927.70800523346,7277.03014113811,3146.16769496405,-4.33180513167029,0.182735492354309,-23.7053299053217,6.276327572307e-98,1.39125261186138e-94
"YHR215W",5.71842767339934,22.0511250095895,25.4695133450094,21.6083479617985,15.14506011252,15.8336512573751,512.748218113402,612.950654405536,528.264416081655,661.064985687509,669.337028924278,759.7510035786,320.828536012556,-5.17048867959244,0.238828510178956,-21.6493779395021,1.84000234923201e-85,3.05900390559822e-82
"YKL062W",375.271816066832,423.381600184118,460.766650514261,437.251276403451,428.72170164672,421.175123446178,2010.33138741505,1873.78113653751,2059.28224472549,1857.14443013059,2342.67960123497,1834.85422349073,1210.38676598299,-2.23506117467736,0.0928317644195165,-24.0764698231619,2.9643279139292e-78,3.94255612552584e-75
"YER001W",197.285754732277,175.306443826236,158.605605830286,256.122477311905,226.01089706376,222.46280016612,1268.08699103315,1135.76150669261,1314.33452025106,1294.11874316792,1165.78257436258,1182.78446451382,716.388564912644,-2.56762763232073,0.122740324404489,-20.9191856448021,5.65611991149221e-64,6.2688662352372e-61
"YHR136C",22.1589072344224,40.7945812677405,57.8852576022941,38.132378756115,32.62012947312,34.8340327662252,537.558615764051,787.596521010055,1339.64060006336,850.14077608542,995.360969212118,716.165737906487,454.407375595117,-4.53946503675216,0.252822166692176,-17.9551702136909,9.16832330481603e-58,8.70990713957523e-55
"YPL019C",466.051855382046,511.586100222476,534.859780245198,699.093610528774,605.8024045008,710.139258893273,3514.11715612935,4087.84002607222,3610.86126321682,3179.27440150561,4274.12445960688,3441.52676199215,2136.27308985797,-2.64663624706336,0.134486745034469,-19.679532331495,1.18116119792721e-57,9.81840245776997e-55
"YER011W",293.784221720891,148.845093814729,156.290195526194,169.689085464712,137.47054563672,153.586417196538,2911.08665767609,2154.34127063122,2051.37409478415,3162.46766458135,2534.0951722373,4064.53967718765,1494.79750803813,-3.98981890285631,0.225364096875063,-17.703879891162,2.18188698888355e-54,1.61217205289729e-51
"YOR273C",571.842767339934,820.301850356728,821.970657952577,701.635769112515,780.5530981068,819.391452569161,3725.69471387238,4064.17832801612,3153.77019660725,3703.08436897834,3443.01039970643,4110.68878201695,2226.34353205293,-2.29956500088288,0.117808315842569,-19.5195473633277,5.58008749785926e-53,3.71075818607641e-50
"YAR071W",17.155283020198,25.3587937610279,24.3118081929635,15.252951502446,20.97008323272,15.8336512573751,206.064136042886,159.998148760269,169.234408744722,210.084211553234,170.421605150462,221.344780570143,104.669155149037,-3.3026582961375,0.193412832610778,-17.0756937456354,6.95127049303968e-48,4.20235897988308e-45
"YPL025C",183.704489007954,275.639062619868,288.268582859425,270.739889168416,238.8259479282,214.545974537433,22.7428645130944,10.1407277383269,9.48977992961057,14.0056141035489,12.3493916775697,23.0745524146481,130.293906374841,3.92584596108478,0.240807772998112,16.3028207611702,3.13830398000346e-46,1.73914345558525e-43
"YDR406W",481.777531483894,605.303381513231,627.476192408868,567.536903820178,565.0272426594,593.761922151566,1944.17032701332,2667.01139517997,2293.36348298922,2313.72744990628,2713.16135156206,2315.14675893636,1473.95532830203,-2.05069955211628,0.109315596545842,-18.7594416251143,5.63067525055039e-46,2.88030695508924e-43
"YKL109W",581.850015768383,585.4573690046,544.121421461565,685.111738318199,604.63739987676,682.430369192867,3136.44776966948,3162.78030683151,2124.1290742445,2869.75032981718,2748.97458742702,3233.00117720792,1746.55762990166,-2.22894619728144,0.122710437329217,-18.1642755562955,2.19891026309727e-45,1.04448237497121e-42
"YCL064C",1701.94703629548,1789.44879452819,1712.24591987586,1780.14654826463,1605.37637192712,1776.53567107749,4228.79444401053,4798.81771528158,4472.84960682312,4197.48254683361,4644.60620993397,4366.21808468287,3089.53907912787,-1.36477910023786,0.0625658139776483,-21.8134954773452,9.40060232191423e-44,4.16760036271531e-41
"YER081W",4869.95596735871,10917.5119922477,8680.47323004003,7686.2164779409,9499.44770442216,6186.99922881932,718.12317644377,807.877976486709,974.284072773352,966.387373144876,821.234546558386,1110.14235506029,4436.55450844135,3.1479357527993,0.196045526451615,16.057166974306,7.13519399440282e-42,2.96556500392367e-39
"YBL005W-B",30.0217452853465,40.7945812677405,50.9390266900188,34.3191408805035,29.125115601,34.0423502033565,189.523870942454,200.561059713576,207.193528463164,219.888141425718,234.638441873824,211.089423941411,123.511368857343,-2.54245261664886,0.153969229093919,-16.5127320024315,1.83899374004585e-40,7.19371080664993e-38
"YDR033W",195.141344354752,738.712687821247,644.841769689557,572.62122098766,603.47239525272,486.884776164284,5982.06254465636,7416.2522192964,7882.84386152985,9280.11990501152,6792.16542266334,9339.21143656574,4161.19413199945,-3.8496111817822,0.255820784602709,-15.0480782386805,1.79144713414682e-39,6.61840191226462e-37
"YGR035C",49.3214386830693,55.1278125239737,83.3547709473035,59.1051870719782,61.74524507412,60.9595573408941,1390.76062386135,718.864921894728,498.213446304555,768.908214284836,576.716591342505,951.18432731494,439.521844720355,-3.73700766194964,0.247884793200045,-15.0755825466625,2.84121654809773e-39,9.94425791834205e-37
"YFR015C",709.085031501518,1387.01576310318,1280.42189816275,1090.58603242489,1230.24488298624,1203.35749556051,5973.79241210614,10619.5954370812,12151.6631998663,8392.16397084652,10233.940883202,7815.43636414657,5173.94194758232,-2.9999642689286,0.19921983335244,-15.0585622849175,2.01861159964512e-36,6.71188356882002e-34
"YDR281C",20.7293003160726,8.82045000383579,11.5770515204588,8.89755504309349,15.14506011252,14.2502861316376,137.146364791085,155.491158654346,230.917978287191,175.070176294362,127.198734278968,162.376479954931,88.9683829490417,-3.61938642803618,0.249623061135727,-14.4994072725846,3.90608004942433e-36,1.23692534898437e-33
"YBR092C",368.123781475082,404.638143925967,431.824021713114,298.068093943632,288.92114676192,262.838610872427,2150.2344630562,1744.20517099222,1768.2623268841,2700.28239916423,1717.80038234995,2686.90343672792,1235.17516482223,-2.6375525776706,0.179419137281054,-14.700508639382,5.01872776930179e-33,1.51702453026622e-30
"YML122C",116.512963845512,103.64028754507,172.498067654837,136.005484230143,111.84044390784,117.169019304576,10.3376656877702,7.88723268536536,7.90814994134215,15.4061755139038,14.8192700130836,15.3830349430988,69.1173162727118,3.39363701235533,0.249025103658444,13.6276903914472,1.63334246081718e-31,4.72249015844968e-29
"YDL037C",40.7437971729703,30.8715750134253,20.8386927368259,16.5240307943165,30.29012022504,15.0419686945063,410.060738948218,331.263772785345,200.86700851009,485.994809393148,255.632407725693,525.587027222541,196.976329101843,-3.84617020687988,0.30029545933206,-12.8079532585502,3.87645837098206e-29,1.07410200695961e-26
"YDR342C",428.88207550495,398.02280642309,470.028291730628,318.40536261356,332.0263178514,437.008774703553,2271.52974045937,2620.81474659426,4449.12515699909,2270.31004618528,3892.52825676997,1974.15615103101,1655.23647723885,-2.87367429030938,0.215367680010291,-13.3431083539186,1.5050504172836e-28,4.00343410997439e-26
"YBR244W",37.1697798770957,59.5380375258916,59.04296275434,99.1441847658989,68.73527281836,93.4185424185131,581.665989365203,620.837887090902,517.193006163776,466.386949648179,631.053914723812,405.086586834934,303.272759498909,-2.94372849714916,0.223084322083998,-13.1955866268395,3.16896064085004e-28,8.10522625448184e-26
"YGR087C",124.375801896436,221.613806346374,215.333158280534,147.445197856978,170.09067510984,174.170163831126,27.5671085007205,19.154707950173,26.8877098005633,12.605052693194,23.4638441873824,22.2199393622538,98.7439304846312,2.97460113934863,0.226245109408653,13.1476925495693,3.80530666743961e-28,9.37232938461978e-26
"YMR122C",328.809591220462,460.86851270042,608.952909976134,314.592124737948,398.43158142168,350.715375350858,55.1342170014411,66.4781040623652,80.6631294016899,65.82638628668,66.6867150588764,70.0782702963388,238.936409792908,2.61013720493952,0.19394369391275,13.4582215708119,7.1660524969271e-28,1.70193746802019e-25
"YPR064W",112.938946549637,124.58885630418,127.347566725047,127.743468832985,154.94561499732,156.753147448013,22.0536868005764,24.7884455825768,28.4693397888317,11.2044912828391,19.7590266841115,17.0922610478875,77.3070710036672,2.70822934809601,0.203200827269113,13.3278460747077,8.25727639151412e-28,1.89347889667479e-25
"YPL095C",152.967940263432,255.793050111238,288.268582859425,238.962906871654,238.8259479282,282.630674944145,939.349222162053,1043.36820952119,1100.81447183483,1082.63397020433,1069.45731927754,943.492809843391,636.380425485119,-2.08645710748205,0.146742869774708,-14.21845647891,1.5243567685406e-27,3.37899083693166e-25
"YIL121W",458.189017331122,194.049900084387,254.695133450094,233.878589704172,226.01089706376,243.046546800708,1339.0722954225,1584.20702223196,1592.70139818631,1697.48042935013,1626.41488393593,1579.32492082481,919.08925286549,-2.54515293760408,0.192489242821198,-13.2223125838168,1.14293787246433e-26,2.45178608125413e-24
"YOR153W",705.511014205644,1899.70441957613,2120.91583854806,2053.42859601679,1986.3328839882,1829.57840278969,10538.9055798255,14791.9415276395,11240.6443266237,14082.6449811184,12387.6747917702,16239.3572215979,7489.71996530831,-2.90382155223203,0.233350858504842,-12.4440148660167,3.47509782624521e-25,7.22168767016582e-23
"YOR100C",159.401171396007,163.178325070962,162.078721286424,142.996420335431,135.14053638864,177.336894082601,31.0129970633106,36.0559208473845,41.1223796949792,26.610666796743,46.9276883747649,31.6206829385919,96.1235336896532,2.15790734008467,0.16574274851108,13.0196184114831,7.40027483538066e-24,1.4912675047055e-21
"YLR227W-B",12.1516588059736,4.41022500191789,9.26164121636706,12.0752532727697,6.99002774424,11.8752384430313,76.4987260894995,101.407277383269,77.499869425153,119.047719880166,104.969829259343,66.6598180867613,50.2372737173742,-3.20307377114006,0.270582751248091,-11.837686461408,8.44415808194284e-24,1.65157797779176e-21
"YER037W",180.130471712079,186.332006331031,196.8098758478,161.427070067553,149.12059187712,201.879053531532,607.16556472837,615.204149458498,763.927284333651,581.232985297281,778.011675686892,529.005479432119,412.52051735866,-1.84654446049584,0.135301515120947,-13.6476258883369,1.23364447060927e-23,2.34392449415762e-21
"YJR150C",7.14803459174917,17.6409000076716,17.3655772806882,16.5240307943165,13.98005548848,17.4170163831126,106.822545440292,83.3793169595766,132.856919014548,127.451088342295,87.6806809107449,142.720379749861,64.2488787469447,-2.93272912287217,0.248121341203527,-11.8197375068456,5.3789137409351e-23,9.93604899367178e-21
"YMR045C",24.3033176119472,31.9741312639047,32.4157442572847,27.3282047752157,19.80507860868,26.9172071375377,108.890078577846,153.237663601384,139.183438967622,169.467930652942,212.409536854199,147.848058064227,91.1483658643992,-2.5147639478928,0.205709862582428,-12.2248098186597,5.96175920195031e-23,1.07150537008026e-20
"YER124C",223.733482721749,328.561762642883,275.53382618692,334.293853761941,366.9764565726,301.631056452996,845.621053259603,1406.180913048,1170.40619131864,1208.68449713627,1270.75240362192,1173.38372093748,742.14660147175,-1.95101710973399,0.153716448630906,-12.6923118970739,1.87156939748383e-21,3.2752464455967e-19
"YDR055W",439.604127392574,661.533750287684,692.307680923438,550.377333379926,662.88763107876,668.971765624098,1977.9400349267,2603.91353369705,3659.89179285315,2680.67453941926,2756.38422243356,2157.8979572958,1626.032030776,-2.10773431706767,0.170386746208882,-12.370295013931,1.94021146357596e-21,3.30830929045645e-19
"YLR413W",1398.15556614614,859.993875373989,1238.74451268909,996.526164826471,799.19317209144,911.226629861937,5475.51692595562,4252.34516493841,3644.07549297046,4529.41560108772,4022.19686938445,6189.96233849247,2859.77935948485,-2.17992210076429,0.180227595850575,-12.0953846744516,5.75621556268609e-21,9.56970837296563e-19
"YOR376W",47.8918317647195,105.845400046029,97.2472327718541,85.1623125553234,66.40526357028,128.252575184738,8.95931026273418,5.63373763240383,3.16325997653686,8.40336846212936,2.46987833551394,3.4184522095775,46.9043852309867,4.00120157387205,0.379345165265474,10.5476540634752,1.3583077388863e-20,2.20310889355949e-18
"YGR233C",449.611375821023,342.894993899116,380.884995023095,390.221342604243,335.52133172352,401.383059374459,1130.25144852954,982.523843091227,1059.69209213985,920.168846603165,1064.51756260651,981.950397201138,703.301774051407,-1.41272007657593,0.0995100670102084,-14.1967553537171,2.31864219278449e-20,3.67118347190878e-18
"YLR111W",90.0652358560396,104.74284379555,108.824284292313,131.556706708597,92.03536529916,183.670354585551,9.64848797525219,20.2814554766538,11.071409917879,5.60224564141957,19.7590266841115,11.9645827335213,65.7684999138373,3.18828546287929,0.296018791902954,10.7705508909871,5.35596275398305e-20,8.28305867767146e-18
"YJL012C",1401.01477998284,1298.81126306482,1515.43604402806,1396.28060211974,1432.9556875692,1297.56772054189,2937.27541075177,3750.94251565447,4175.50316902865,3515.40913999078,3515.8718106041,3738.077491173,2497.92880287578,-1.37437327150249,0.0963327983365349,-14.2669298020511,5.60150661357752e-20,8.46591340461147e-18
"YGR051C",253.040424547921,587.662481505559,551.06765237384,352.724503494063,335.52133172352,414.841662943228,71.6744821018734,49.5768911651537,82.2447593899583,84.0336846212936,80.2710459042031,59.8229136676063,243.540152786518,2.54954628264309,0.229406069094676,11.1136827927203,2.05175950914772e-19,3.03204460796274e-17
