"","SNF2_14","SNF2_15","SNF2_31","SNF2_33","SNF2_42","SNF2_44","WT_02","WT_18","WT_20","WT_39","WT_42","WT_45"
"YDL246C",1.49019862255246,7.38144760403826,3.32887463314607,2.44161094988149,4.47990541892872,4.53003239961311,3.07476585499037,2.16538289375834,4.53725160224021,1.33687190726632,1.18514625898109,2.45802586959056
"YDL243C",248.118070654985,284.712979012904,281.844718939701,223.407401914156,195.995862078132,193.281382383493,173.211809831124,200.297917672647,302.483440149347,205.878273719013,182.512523883088,208.932198915197
"YDR387C",613.961832491615,664.330284363443,636.924679808615,593.311460821201,585.74763352493,674.219822142419,578.05598073819,623.630273402403,620.091052306162,593.571126826244,555.833595462131,613.687125441109
"YDL094C",26.0784758946681,8.43594011890087,7.7673741440075,31.1305396109889,11.1997635473218,40.0152861965825,28.6978146465768,31.398051959496,21.1738408104543,12.0318471653968,30.8138027335083,11.4707873914226
"YDR438W",284.62793690752,296.312396676393,288.502468205993,288.720494823486,293.433804939831,294.452105974852,279.803692804124,229.530586738385,243.499169320225,197.857042275415,246.510421868066,304.795207829229
"YDR523C",36.5098662525353,34.7982529904661,26.6309970651686,47.611413522689,34.7192669966976,39.260280796647,124.015556151278,69.292252600267,40.8352644201619,68.1804672705821,45.0355578412814,86.8502473921997
"YDR542W",0.745099311276232,3.16347754458782,3.32887463314607,0,3.35992906419654,2.26501619980656,0,0,0,0,0,1.63868391306037
"YDR492W",645.256003565216,521.973794856991,684.638549550375,757.509797200731,544.30850839984,777.655561933585,1324.19916154919,1040.46648045088,707.811249949473,962.547773231748,991.967418767171,1322.41791783972
"YDR018C",194.470920243096,149.73793711049,129.826110692697,145.275851517948,178.076240402417,235.561684779882,49.196253679846,77.9537841753004,81.6705288403238,48.1273886615874,61.6276054670166,45.8831495656904
"YDL189W",1020.78605644844,1035.51164959508,1343.7557269133,1120.08902325813,1170.37529069513,1104.57290010566,1061.81914192334,1077.27798964478,1045.080285716,1173.77353457983,1105.74145962936,1203.61333414284
"YDR508C",2259.88621110081,2007.75374829841,2729.67719917978,2190.73542478116,1771.80259318631,2054.36969322455,2558.20519135199,2041.95606881412,1929.84434815284,2443.80184648283,2172.37309271234,2929.96683655194
"YDR462W",321.137803160056,496.665974500289,459.384699374158,337.552713821115,349.43262267644,351.077510970016,421.242922133681,361.618943257644,473.386583833729,425.125266510689,401.764581794589,401.477558699791
