"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR290C",811.152948987355,-6.74226900447271,0.168251466378493,-40.0725720232687,1.36209906244515e-301,9.12606371838248e-298
"YGR234W",3094.62635392493,-4.27316494376096,0.107435287776181,-39.7743146801377,1.64862782166797e-270,5.5229032025877e-267
"YML123C",5023.27750842397,-4.6419732843263,0.118995945240436,-39.0095080546402,9.30539449958782e-266,2.07820477157461e-262
"YIL121W",865.948847650745,-2.76821590023756,0.0774141272367755,-35.7585365752534,5.22119445124171e-189,8.74550070582987e-186
"YDR033W",4199.1524686338,-3.77963190710778,0.11336375801271,-33.3407428737854,2.4930331006259e-184,3.34066435483871e-181
"YHR215W",307.693661056598,-5.05974962200749,0.179722897564945,-28.1530605758183,2.63575991854375e-142,2.94326524237386e-139
"YOR153W",7630.01976687556,-2.79654377874894,0.0920221234448075,-30.3899070577983,9.09157536190077e-138,8.70193641781931e-135
"YER011W",1390.7480005189,-4.19503799666585,0.160968170579218,-26.0612888968712,6.55436501180023e-117,5.4892806973827e-114
"YPL095C",629.652008305826,-2.01030599285361,0.0722258514801298,-27.8336073809621,2.13156320795054e-97,1.58683038814096e-94
"YOR273C",2160.28272847994,-2.20741493723901,0.0820952401849551,-26.888464328332,2.25725010014641e-96,1.5123575670981e-93
"YDR406W",1449.75517397001,-2.00914872226335,0.0730613866118283,-27.4994605965783,4.31977883087677e-95,2.6311380151704e-92
"YFR015C",5135.50501454513,-2.94015049933152,0.119433540665721,-24.6174607479871,4.43045843186348e-93,2.47367262445711e-90
"YHR136C",450.915190226973,-4.5816692147049,0.202277406491451,-22.6504249494545,7.55234618342759e-91,3.8923630329973e-88
"YER081W",4484.0598401705,3.1978559005585,0.13405359363082,23.8550553845301,2.21971245050463e-90,1.06229095845579e-87
"YKL062W",1135.71554312653,-2.1752054136834,0.0856828224819656,-25.3867152210262,2.01308137440371e-85,8.99176347233659e-83
"YPL019C",2086.94458760315,-2.56692843391936,0.108474304327837,-23.6639308251423,3.01193939186974e-81,1.26124962034546e-78
"YDR077W",23081.7367885505,-3.2876095522043,0.154228919703113,-21.3164272857053,2.53091860270175e-73,9.97479684594218e-71
"YPL025C",128.392322293944,4.0982651356348,0.202895429492078,20.1989031783233,1.13393172066898e-70,4.22074584915676e-68
"YOL109W",2971.8802438224,-2.82362826828382,0.131466740090088,-21.4778906539321,3.2875135334012e-70,1.15928108809411e-67
"YER124C",748.930644704719,-1.92718790459151,0.0817284855745675,-23.5803696965996,1.38151445227548e-68,4.62807341512285e-66
"YBR067C",4112.59140344484,-2.79189302736401,0.135531617452615,-20.5995698999174,1.88589465717244e-64,6.01690200145494e-62
"YGR035C",390.552941077008,-3.59636923303664,0.183923383973309,-19.5536269252123,6.7475940833823e-64,2.05494910721188e-61
"YFR055W",938.104473589845,-1.91315097445335,0.0845851552476339,-22.6180464982579,5.84296423718131e-63,1.70208088648325e-60
"YCL064C",3016.06048482373,-1.39570988697968,0.0537993038773426,-25.9428986323274,1.53598534067823e-62,4.28795907606005e-60
"YER001W",673.039789834035,-2.4522685171656,0.119213519651075,-20.5703893681113,1.41356938572453e-60,3.78836595374174e-58
"YPR149W",2887.18808245634,-2.05740790580963,0.100817094425677,-20.4073318868198,3.89977628161843e-54,1.00494234949398e-51
"YMR056C",473.825052315675,2.083188185689,0.102554506739971,20.3129852788525,4.57702462446178e-54,1.13578018458866e-51
"YDR281C",87.1979671799029,-3.79466752235826,0.218497809185194,-17.367073548742,1.1177872528102e-51,2.67470521208156e-49
"YIL169C",1374.25231886633,-2.88505746304678,0.159823691236208,-18.0515006300466,1.16673344863305e-50,2.69555658822118e-48
