	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
YDL246C	2	7	3	4	4	6	3	2	3	1	1	3
YDL243C	333	270	254	366	175	256	169	185	200	154	154	255
YDR387C	824	630	574	972	523	893	564	576	410	444	469	749
YDL094C	35	8	7	51	10	53	28	29	14	9	26	14
YDR438W	382	281	260	473	262	390	273	212	161	148	208	372
YDR523C	49	33	24	78	31	52	121	64	27	51	38	106
YDR542W	1	3	3	0	3	3	0	0	0	0	0	2
YDR492W	866	495	617	1241	486	1030	1292	961	468	720	837	1614
YDR018C	261	142	117	238	159	312	48	72	54	36	52	56
YDL189W	1370	982	1211	1835	1045	1463	1036	995	691	878	933	1469
YDR508C	3033	1904	2460	3589	1582	2721	2496	1886	1276	1828	1833	3576
YDR462W	431	471	414	553	312	465	411	334	313	318	339	490
YDR175C	708	483	513	899	440	769	509	508	428	401	457	689
YDR186C	1502	1132	1220	1911	1056	1601	1725	1349	966	1155	1190	2425
YDR150W	2162	1379	1542	2650	1429	1946	1249	1337	893	1064	1178	1669
YDR243C	288	201	184	344	155	242	220	218	129	181	180	284
YDL182W	1199	1268	1270	1593	957	1186	2164	2064	1777	1966	1796	3550
YDR362C	473	351	304	547	344	509	371	324	214	341	276	458
YDR232W	1993	1680	1709	2432	1338	1727	1689	1618	1227	1700	1535	2963
YDR158W	6678	6824	5143	7734	5018	5791	3363	3617	3546	3919	3674	5623
YDR439W	244	195	211	338	183	278	251	175	147	187	175	280
YDL206W	561	273	309	678	305	617	382	384	220	219	359	428
YDR125C	149	77	68	152	86	150	108	125	62	66	84	111
YDR338C	528	359	450	660	300	533	350	331	233	300	315	529
YDR526C	3	3	0	5	1	3	7	3	3	1	2	5
YDR533C	248	173	146	306	156	289	244	204	190	155	198	241
YDR272W	1027	659	576	1218	780	1066	607	601	511	423	578	686
YDR197W	359	183	172	419	188	382	323	246	169	143	210	309
YDR512C	426	445	321	520	337	551	254	231	226	236	212	244
YDR489W	335	301	335	404	233	367	270	218	171	172	196	323
YDR299W	172	74	103	303	91	137	390	242	111	279	217	524
YDL015C	1781	1209	1112	2270	1247	1819	1733	1533	1080	1045	1424	1903
YDR304C	2907	2771	2400	3438	2331	2798	1798	1723	1545	1678	1718	2696
YDR271C	1	0	0	2	1	1	0	0	0	0	0	0
YDL181W	438	327	340	498	297	476	153	229	279	175	223	204
YDR367W	569	510	426	657	412	520	350	327	247	297	305	458
YDR085C	760	441	477	925	506	867	684	925	744	519	995	864
YDL097C	3860	3690	3497	4838	3145	4125	2866	3011	2491	2484	2818	3967
YDL139C	325	275	297	447	226	351	214	186	130	153	153	264
YDR200C	746	347	364	838	441	652	373	387	203	270	349	477
YDR191W	278	162	184	334	140	259	101	99	78	57	95	128
YDR451C	319	268	231	384	237	272	268	291	257	248	305	420
YDR469W	459	555	497	691	410	519	352	321	277	314	283	439
YDR470C	484	328	357	622	323	534	452	349	264	299	276	486
YDR105C	790	718	608	1047	590	710	567	588	474	523	523	766
YDR483W	3629	2607	2266	4116	2350	3274	2897	2565	2108	2261	2331	3337
YDL123W	530	368	439	686	378	546	398	401	297	357	357	561
YDL199C	366	301	241	372	261	387	197	189	143	118	144	211
YDR505C	1047	525	481	1043	585	802	675	758	478	533	670	796
YDL045W-A	450	349	369	599	308	530	419	339	258	282	350	417
YDL045C	782	599	607	993	547	831	448	462	388	355	438	539
YDR361C	504	235	266	618	259	430	708	554	303	481	526	920
YDR406W-A	17	0	1	37	4	18	21	23	9	6	20	8
YDR199W	28	18	9	60	21	42	17	19	12	11	15	18
YDR266C	635	387	332	804	441	616	622	609	340	490	510	840
YDL242W	35	25	17	24	15	36	30	32	20	23	22	26
YDR002W	5642	4256	3311	6799	3632	4916	4026	3785	2633	3543	3638	5465
YDR214W	1163	1162	1010	1417	1041	1147	1029	1231	1022	813	1023	1396
YDR130C	226	171	180	327	187	261	224	206	152	163	211	239
YDL176W	511	334	301	624	319	461	360	265	186	248	271	452
YDR358W	1360	954	871	1519	855	1358	762	799	688	637	858	914
YDR544C	0	1	0	0	0	0	1	0	0	0	0	0
YDR460W	762	501	551	990	500	718	375	381	254	288	344	535
snR84	178	89	85	187	94	162	138	99	96	67	80	148
YDR034W-B	64	64	46	54	49	79	18	34	43	10	47	13
YDL028C	558	265	295	709	313	525	376	320	198	229	276	467
YDR061W	791	446	586	990	485	778	554	507	401	402	459	806
YDR060W	1210	514	621	1730	649	990	1571	1413	573	1273	1225	2307
YDR169C-A	7	4	4	4	2	5	12	6	3	7	6	11
YDR363W	448	233	208	523	279	402	288	325	167	225	311	375
YDR422C	669	420	380	775	458	621	561	548	326	457	428	715
YDR119W	847	597	509	1044	541	780	825	801	457	678	621	1219
tR(ACG)D	0	1	2	1	0	1	0	0	0	0	0	1
YDR097C	636	448	402	760	453	534	384	371	255	348	318	609
YDR042C	58	20	17	69	17	69	29	26	7	16	22	27
