"","SNF2_14","SNF2_15","SNF2_31","SNF2_33","SNF2_42","SNF2_44","WT_02","WT_18","WT_20","WT_39","WT_42","WT_45","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR290C",13.4332958789491,9.47510151665425,18.8331359642121,20.7699281177252,20.1488447288126,7.55839048815716,1485.42827330381,1680.46022827687,1473.19286400971,1538.84387553567,1817.88842360422,1638.24751723934,810.356656555344,-6.74061167316375,0.168110660901373,-40.0962772796327,6.19459806864379e-302,4.20551262880227e-298
"YGR234W",282.845507673429,311.625560992184,329.025963610058,350.645257046303,314.545853822019,238.845139425766,5367.40209299234,5710.1021407708,5104.04666115364,6441.23712485503,5684.60223667768,6964.39221632199,3091.60964627844,-4.27179571865554,0.106925937328436,-39.9509775213307,7.13864782880614e-273,2.42321400548824e-269
"YML123C",388.819286274028,464.279974316058,340.104278883124,389.13071208797,397.379993262694,342.395089113519,7190.66036642727,8989.86708082695,11688.841021517,10662.3713667758,9450.65121847665,9917.00007315375,5018.45837175957,-4.64062562356812,0.118654915962149,-39.110268512166,4.21996132025416e-267,9.54977246773515e-264
"YIL121W",224.634558864649,185.290874103461,243.722936007451,224.803927862438,217.159770966092,232.042587986425,1321.63190960387,1521.39541594159,1521.54380929003,1618.99199405315,1559.71273868844,1511.47349568562,865.200334921101,-2.76667483849735,0.0773742063199915,-35.7570690554859,6.01053630166075e-189,1.02013827379937e-185
"YDR033W",507.480066538078,705.368668462039,617.062160709772,550.403095119719,579.838976084719,464.841015021665,7960.50327581698,7122.20812782896,7530.65972740963,8851.02388828068,6513.60672952651,8937.97746799374,4195.08109989937,-3.77843004995564,0.112558232947345,-33.5686688660366,8.28507097480286e-187,1.12494693695873e-183
"YHR215W",12.687001663452,21.0557811481206,24.3722936007451,20.7699281177252,14.5519434152536,15.1167809763143,487.294182007315,588.648012995891,504.662991363326,630.498532337531,641.886335891522,727.110355879066,307.387844949688,-5.05816717792639,0.179827757434253,-28.1278443889604,4.79907098436126e-142,5.43014881880476e-139
"YOR153W",2048.57762153974,1813.95554591059,2029.54735802568,1973.75405142265,1908.54334792364,1746.74404181312,14160.1956418596,14205.4616077391,10738.4427533508,13431.4888615548,11879.6343825237,15541.6771455726,7623.16852993633,-2.7951184032673,0.0916823056569763,-30.486999462307,1.32423703392376e-138,1.28432074618692e-135
"YER011W",129.855193496508,142.126522749814,149.55725618639,163.105023748019,132.086870999994,146.632775470249,2443.63700094845,2068.92463391203,1959.72425089292,3016.24086020793,2430.16745617971,3889.91771941602,1389.33129701734,-4.19350644754635,0.160707645958796,-26.0940070556539,3.46630610267703e-117,2.9415940163843e-114
"YPL095C",252.993739053542,244.247061318198,275.850050299342,229.690969772491,229.472953855922,269.834540427211,1032.94081858273,1002.00011035698,1051.63305984693,1032.57492690024,1025.59698686727,902.958192227772,629.149450792385,-2.00879749765187,0.072152149691903,-27.8411316395927,2.11142803065323e-97,1.59272054445609e-94
"YOR273C",841.073580865315,783.275058710085,786.560384387681,674.411783587314,749.984776016915,782.293415524266,3600.44881957926,3903.03930675768,3012.86827777986,3531.86042267041,3301.80646580362,3934.08415273151,2158.47553703449,-2.20598974518788,0.0818201485400123,-26.9614487941083,7.54434010743635e-97,5.12185249893854e-94
"YDR406W",628.37972944862,577.981192515909,600.444687800174,545.516053209666,542.899427415229,566.879286611787,2144.70863719606,2561.26810066411,2190.90220801444,2206.74486318136,2601.88981541268,2215.68273799369,1448.60806162198,-2.00772243111249,0.0729900911268877,-27.5067807166074,4.26331772935378e-95,2.63124218768934e-92
"YFR015C",1176.15968362355,1324.40863421678,1225.26166920109,1048.27048970637,1182.06555742367,1148.87535419989,7362.6465483122,10198.5432398645,11608.7597683965,8004.12543594594,9814.22890319749,7479.66727166936,5131.08437964644,-2.93891155870297,0.119136482218879,-24.6684433178375,1.92967618317505e-93,1.09171430063128e-90
