ENSMUSG00000051951.6	Xkr4	Gene Expression
ENSMUSG00000089699.3	Gm1992	Gene Expression
ENSMUSG00000102331.2	Gm19938	Gene Expression
ENSMUSG00000142494.1	ENSMUSG00000142494	Gene Expression
ENSMUSG00000102343.2	Gm37381	Gene Expression
ENSMUSG00000133908.1	ENSMUSG00000133908	Gene Expression
ENSMUSG00000025900.14	Rp1	Gene Expression
ENSMUSG00000135717.1	ENSMUSG00000135717	Gene Expression
ENSMUSG00000139157.1	ENSMUSG00000139157	Gene Expression
ENSMUSG00000025902.14	Sox17	Gene Expression
ENSMUSG00000104238.3	Gm37587	Gene Expression
ENSMUSG00000104328.3	Gm37323	Gene Expression
ENSMUSG00000131850.1	ENSMUSG00000131850	Gene Expression
ENSMUSG00000135930.1	ENSMUSG00000135930	Gene Expression
ENSMUSG00000033845.14	Mrpl15	Gene Expression
ENSMUSG00000120403.2	A930006A01Rik	Gene Expression
ENSMUSG00000136002.1	ENSMUSG00000136002	Gene Expression
ENSMUSG00000025903.15	Lypla1	Gene Expression
ENSMUSG00000104217.2	Gm37988	Gene Expression
ENSMUSG00000137875.1	ENSMUSG00000137875	Gene Expression
ENSMUSG00000033813.16	Tcea1	Gene Expression
ENSMUSG00000002459.18	Rgs20	Gene Expression
ENSMUSG00000085623.2	Gm16041	Gene Expression
ENSMUSG00000033793.13	Atp6v1h	Gene Expression
ENSMUSG00000143188.1	ENSMUSG00000143188	Gene Expression
ENSMUSG00000143351.1	ENSMUSG00000143351	Gene Expression
ENSMUSG00000025905.15	Oprk1	Gene Expression
ENSMUSG00000033774.5	Npbwr1	Gene Expression
ENSMUSG00000090031.5	4732440D04Rik	Gene Expression
ENSMUSG00000025907.15	Rb1cc1	Gene Expression
ENSMUSG00000087247.4	Alkal1	Gene Expression
ENSMUSG00000143943.1	ENSMUSG00000143943	Gene Expression
ENSMUSG00000141243.1	ENSMUSG00000141243	Gene Expression
ENSMUSG00000033740.18	St18	Gene Expression
ENSMUSG00000120372.2	Gm57122	Gene Expression
ENSMUSG00000051285.18	Pcmtd1	Gene Expression
ENSMUSG00000138092.1	ENSMUSG00000138092	Gene Expression
ENSMUSG00000126455.1	ENSMUSG00000126455	Gene Expression
ENSMUSG00000126493.1	ENSMUSG00000126493	Gene Expression
ENSMUSG00000097797.8	Gm26901	Gene Expression
ENSMUSG00000103067.2	Gm30414	Gene Expression
ENSMUSG00000132588.1	ENSMUSG00000132588	Gene Expression
ENSMUSG00000135709.1	ENSMUSG00000135709	Gene Expression
ENSMUSG00000135722.1	ENSMUSG00000135722	Gene Expression
ENSMUSG00000025909.17	Sntg1	Gene Expression
ENSMUSG00000123533.1	ENSMUSG00000123533	Gene Expression
ENSMUSG00000123491.1	ENSMUSG00000123491	Gene Expression
ENSMUSG00000135814.1	ENSMUSG00000135814	Gene Expression
ENSMUSG00000079671.11	2610203C22Rik	Gene Expression
ENSMUSG00000061024.9	Rrs1	Gene Expression
ENSMUSG00000025911.15	Adhfe1	Gene Expression
ENSMUSG00000067879.4	Vxn	Gene Expression
ENSMUSG00000099827.2	Gm29520	Gene Expression
ENSMUSG00000025912.17	Mybl1	Gene Expression
ENSMUSG00000123215.1	ENSMUSG00000123215	Gene Expression
ENSMUSG00000045210.9	Vcpip1	Gene Expression
ENSMUSG00000097893.11	1700034P13Rik	Gene Expression
ENSMUSG00000128816.1	ENSMUSG00000128816	Gene Expression
ENSMUSG00000025915.15	Sgk3	Gene Expression
ENSMUSG00000098234.10	Snhg6	Gene Expression
ENSMUSG00000046101.17	Mcmdc2	Gene Expression
ENSMUSG00000099032.3	Tcf24	Gene Expression
ENSMUSG00000025916.11	Ppp1r42	Gene Expression
