,myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
1,0.976,1.532150779,0.952,2.378823315,1,0.917,0,Zbtb20
2,0.955,1.760553023,0.91,2.933492089,0.996,0.621,0,Tubb2b
3,0.953,1.993804377,0.906,3.853259666,0.965,0.271,0,Sox11
4,0.953,1.986105506,0.906,4.589972504,0.945,0.12,0,Igfbpl1
5,0.949,1.611865129,0.898,2.851356874,0.994,0.671,0,Nfib
6,0.934,1.132828733,0.868,1.792741475,1,0.967,0,Eef2
7,0.923,1.573756962,0.846,3.891205155,0.901,0.15,0,Cd24a
8,0.919,1.358853282,0.838,2.266124735,0.993,0.723,0,Tubb5
9,0.916,1.426252879,0.832,2.501738646,0.984,0.545,0,Stmn1
10,0.908,1.503930875,0.816,2.835462664,0.946,0.375,0,Nnat
11,0.905,1.214264443,0.81,2.332022744,0.975,0.589,0,Nfix
12,0.898,1.384830277,0.796,3.94136171,0.859,0.135,0,Sema3c
13,0.891,1.537439403,0.782,2.846366384,0.941,0.454,0,Sox4
14,0.889,1.262320213,0.778,1.976420938,0.998,0.734,0,Tmsb10
15,0.885,1.124102787,0.77,2.469930838,0.92,0.411,0,Jpt1
16,0.88,1.338251147,0.76,3.362038576,0.847,0.178,0,Tubb3
17,0.876,0.98026445,0.752,1.799278242,0.984,0.736,0,Hnrnpa1
18,0.876,0.786763675,0.752,1.181394457,1,0.995,0,Eef1a1
19,0.873,0.869214176,0.746,1.455339417,0.999,0.905,0,Tcf4
20,0.872,1.120764809,0.744,2.436630589,0.902,0.324,0,Fxyd6
21,0.869,1.426400575,0.738,4.59522094,0.782,0.106,0,Neurod1
22,0.867,1.183706233,0.734,2.69861376,0.887,0.345,0,Mir99ahg
23,0.856,1.1162781,0.712,2.074253093,0.968,0.651,0,Nfia
24,0.85,0.735442353,0.7,1.188821514,0.999,0.956,0,Rpl4
25,0.841,0.985354842,0.682,3.368780443,0.762,0.13,0,Dcx
26,0.838,0.745100747,0.676,1.152434481,0.999,0.983,0,Rplp0
27,0.835,0.745284212,0.67,1.163940593,0.999,0.986,0,Rps5
28,0.828,0.859444267,0.656,1.610249256,0.967,0.636,0,Ncam1
29,0.828,0.693968119,0.656,1.125047809,0.998,0.972,0,Rpl7
30,0.827,1.00640584,0.654,1.585417588,0.998,0.887,0,Tuba1a
31,0.827,1.020318253,0.654,3.258904623,0.75,0.185,0,Ttc28
32,0.826,0.681405746,0.652,1.126987564,0.997,0.965,0,H3f3a
33,0.824,0.730911846,0.648,1.217685987,0.998,0.82,0,Marcksl1
34,0.823,0.623671751,0.646,0.991737307,1,0.991,0,Rpl11
35,0.819,0.991042972,0.638,2.640294489,0.786,0.259,0,Mir9-2hg
36,0.817,0.705285415,0.634,1.291307503,0.98,0.84,0,Eef1g
37,0.811,0.666128712,0.622,1.091026596,0.998,0.964,0,Rps26
38,0.81,0.866963807,0.62,2.477597986,0.78,0.243,0,Myt1l
39,0.806,0.959073196,0.612,2.415375317,0.773,0.236,0,Neurod2
40,0.806,0.633235898,0.612,1.007514334,0.998,0.984,0,Rpl23a
41,0.805,0.717796821,0.61,1.409436029,0.96,0.649,0,Ttc3
42,0.805,0.678935887,0.61,1.201336177,0.99,0.82,0,Eif4a2
43,0.803,0.6485249,0.606,1.074402734,0.998,0.944,0,Rpsa
44,0.803,0.74898505,0.606,1.603217525,0.905,0.57,0,Nicol1
45,0.802,0.616709718,0.604,0.971644494,0.999,0.979,0,Rps7
46,0.8,0.574085758,0.6,0.909190227,0.999,0.981,0,Rpl6
47,0.798,0.594742545,0.596,0.944685026,0.999,0.984,0,Rps3
48,0.796,0.711939766,0.592,1.610139157,0.857,0.411,0,Elavl3
49,0.795,0.614543045,0.59,0.965775817,0.999,0.982,0,Rps4x
50,0.795,0.598566165,0.59,0.941239173,0.999,0.969,0,Ptma
51,0.794,0.70096632,0.588,1.394812717,0.933,0.453,0,Mllt11
52,0.793,0.614893112,0.586,0.968555514,1,0.982,0,Rpl17
53,0.793,0.861815678,0.586,1.967153762,0.763,0.216,0,Stmn2
54,0.792,0.938884562,0.584,2.488582083,0.743,0.268,0,Gm17750
55,0.791,0.627030627,0.582,1.082796972,0.994,0.92,0,Gas5
56,0.787,0.576503945,0.574,0.960879637,0.998,0.951,0,Rpl10a
