YDL246C	SOR2	chrIV:8683-9756
YDL243C	AAD4	chrIV:17577-18566
YDR387C	CIN10	chrIV:1248154-1249821
YDL094C	YDL094C	chrIV:289572-290081
YDR438W	THI74	chrIV:1338274-1339386
YDR523C	SPS1	chrIV:1485566-1487038
YDR542W	PAU10	chrIV:1523249-1523611
YDR492W	IZH1	chrIV:1434924-1435874
YDR018C	YDR018C	chrIV:482670-483860
YDL189W	RBS1	chrIV:122216-123589
YDR508C	GNP1	chrIV:1466453-1468444
YDR462W	MRPL28	chrIV:1386073-1386516
YDR175C	RSM24	chrIV:813193-814152
YDR186C	SND1	chrIV:832859-835492
YDR150W	NUM1	chrIV:755628-763874
YDR243C	PRP28	chrIV:948518-950284
YDL182W	LYS20	chrIV:133437-134723
YDR362C	TFC6	chrIV:1196679-1198697
YDR232W	HEM1	chrIV:927452-929098
YDR158W	HOM2	chrIV:770357-771454
YDR439W	LRS4	chrIV:1339676-1340719
YDL206W	YDL206W	chrIV:90176-92464
YDR125C	ECM18	chrIV:701397-702758
YDR338C	YDR338C	chrIV:1147379-1149466
YDR526C	YDR526C	chrIV:1491075-1491545
YDR533C	HSP31	chrIV:1501447-1502160
YDR272W	GLO2	chrIV:1009010-1009834
YDR197W	CBS2	chrIV:851228-852397
YDR512C	EMI1	chrIV:1470500-1471063
YDR489W	SLD5	chrIV:1431012-1431896
YDR299W	BFR2	chrIV:1059627-1061231
YDL015C	TSC13	chrIV:426002-426934
YDR304C	CPR5	chrIV:1071880-1072557
YDR271C	YDR271C	chrIV:1008395-1008766
YDL181W	INH1	chrIV:135179-135436
YDR367W	KEI1	chrIV:1212848-1213614
YDR085C	AFR1	chrIV:614288-616150
YDL097C	RPN6	chrIV:285391-286695
YDL139C	SCM3	chrIV:211375-212046
YDR200C	VPS64	chrIV:854279-856093
YDR191W	HST4	chrIV:842337-843449
YDR451C	YHP1	chrIV:1361120-1362181
YDR469W	SDC1	chrIV:1399015-1399542
YDR470C	UGO1	chrIV:1399706-1401214
YDR105C	TMS1	chrIV:665349-666770
YDR483W	KRE2	chrIV:1421157-1422485
YDL123W	SNA4	chrIV:241418-241840
YDL199C	YDL199C	chrIV:101290-103353
YDR505C	PSP1	chrIV:1456695-1459220
YDL045W-A	MRP10	chrIV:372248-372535
YDL045C	FAD1	chrIV:372688-373608
YDR361C	BCP1	chrIV:1195412-1196263
YDR406W-A	YDR406W-A	chrIV:1283799-1284044
YDR199W	YDR199W	chrIV:854175-854540
YDR266C	HEL2	chrIV:1000104-1002023
YDL242W	YDL242W	chrIV:18959-19312
YDR002W	YRB1	chrIV:453045-453650
YDR214W	AHA1	chrIV:892875-893927
YDR130C	FIN1	chrIV:715747-716622
YDL176W	YDL176W	chrIV:142097-144223
YDR358W	GGA1	chrIV:1190059-1191732
YDR544C	YDR544C	chrIV:1525095-1525523
YDR460W	TFB3	chrIV:1383811-1384776
snR84	snR84	chrIV:1492477-1493026
YDR034W-B	YDR034W-B	chrIV:521314-521469
YDL028C	MPS1	chrIV:400997-403291
YDR061W	YDR061W	chrIV:574164-575783
YDR060W	MAK21	chrIV:570649-573726
YDR169C-A	YDR169C-A	chrIV:794574-794723
YDR363W	ESC2	chrIV:1199183-1200553
YDR422C	SIP1	chrIV:1315326-1317773
YDR119W	VBA4	chrIV:688227-690533
tR(ACG)D	tR(ACG)D	chrIV:619969-620041
YDR097C	MSH6	chrIV:640109-643837
YDR042C	YDR042C	chrIV:540601-541203
YDL160C	DHH1	chrIV:170410-171930
YDR425W	SNX41	chrIV:1320064-1321941
snR13	snR13	chrIV:1402919-1403042
YDR228C	PCF11	chrIV:921926-923806
YDR319C	YDR319C	chrIV:1105003-1105827
YDR471W	RPL27B	chrIV:1401770-1402564
YDR089W	VTC5	chrIV:622112-624721
